Problem Number,Question,Difficulty,Company
346,Moving Average from Data Stream,Easy,Citadel
380,Insert Delete GetRandom O(1),Medium,Citadel
486,Predict the Winner,Medium,Citadel
582,Kill Process,Medium,Citadel
588,Design In-Memory File System,Hard,Citadel
679,24 Game,Hard,Citadel
688,Knight Probability in Chessboard,Medium,Citadel
735,Asteroid Collision,Medium,Citadel
765,Couples Holding Hands,Hard,Citadel
767,Reorganize String,Medium,Citadel
782,Transform to Chessboard,Hard,Citadel
815,Bus Routes,Hard,Citadel
910,Smallest Range II,Medium,Citadel
1143,Longest Common Subsequence,Medium,Citadel
1203,Sort Items by Groups Respecting Dependencies,Hard,Citadel
1268,Search Suggestions System,Medium,Citadel
1670,Design Front Middle Back Queue,Medium,Citadel
1884,Egg Drop With 2 Eggs and N Floors,Medium,Citadel
2050,Parallel Courses III,Hard,Citadel
2402,Meeting Rooms III,Hard,Citadel
2085,Count Common Words With One Occurrence,Easy,Jane Street
874,Walking Robot Simulation,Medium,Jane Street
2809,Minimum Time to Make Array Sum At Most x,Hard,Jane Street
1032,Stream of Characters,Hard,Jane Street
2235,Add Two Integers,Easy,Jane Street
14,Longest Common Prefix,Easy,Jane Street
282,Expression Add Operators,Hard,Jane Street
399,Evaluate Division,Medium,Jane Street
679,24 Game,Hard,Jane Street
740,Delete and Earn,Medium,Akuna Capital
1665,Minimum Initial Energy to Finish Tasks,Hard,Akuna Capital
677,Map Sum Pairs,Medium,Akuna Capital
741,Cherry Pickup,Hard,Akuna Capital
743,Network Delay Time,Medium,Akuna Capital
1177,Can Make Palindrome from Substring,Medium,Akuna Capital
1425,Constrained Subsequence Sum,Hard,Akuna Capital
1223,Dice Roll Simulation,Hard,Akuna Capital
1319,Number of Operations to Make Network Connected,Medium,Akuna Capital
1326,Minimum Number of Taps to Open to Water a Garden,Hard,Akuna Capital
1338,Reduce Array Size to The Half,Medium,Akuna Capital
1370,Increasing Decreasing String,Easy,Akuna Capital
1649,Create Sorted Array through Instructions,Hard,Akuna Capital
1819,Number of Different Subsequences GCDs,Hard,Akuna Capital
38,Count and Say,Medium,Akuna Capital
149,Max Points on a Line,Hard,Akuna Capital
2497,Maximum Star Sum of a Graph,Medium,Akuna Capital
2895,Minimum Processing Time,Medium,Akuna Capital
20,Valid Parentheses,Easy,Akuna Capital
199,Binary Tree Right Side View,Medium,Akuna Capital
200,Number of Islands,Medium,Akuna Capital
647,Palindromic Substrings,Medium,Akuna Capital
733,Flood Fill,Easy,Akuna Capital
2204,Distance to a Cycle in Undirected Graph,Hard,Akuna Capital
1636,Sort Array by Increasing Frequency,Medium,Akuna Capital
1812,Determine Color of a Chessboard Square,Easy,JP Morgan
121,Best Time to Buy and Sell Stock,Easy,JP Morgan
1200,Minimum Absolute Difference,Easy,JP Morgan
1247,Minimum Swaps to Make Strings Equal,Medium,JP Morgan
1418,Display Table of Food Orders in a Restaurant,Medium,JP Morgan
1625,Lexicographically Smallest String After Applying Operations,Medium,JP Morgan
1843,Suspicious Bank Accounts,Medium,JP Morgan
2283,Check if Number Has Equal Digit Count and Digit Value,Easy,JP Morgan
2415,Reverse Odd Levels of Binary Tree,Medium,JP Morgan
2503,Maximum Number of Points From Grid Queries,Hard,JP Morgan
2602,Minimum Operations to Make All Array Elements Equal,Medium,JP Morgan
3216,Lexicographically Smallest String After a Swap,Medium,JP Morgan
188,Best Time to Buy and Sell Stock IV,Hard,Jump Trading
202,Happy Number,Easy,Jump Trading
224,Basic Calculator,Hard,Jump Trading
300,Longest Increasing Subsequence,Medium,Jump Trading
572,Subtree of Another Tree,Easy,Jump Trading
887,Super Egg Drop,Hard,Jump Trading
1250,Check If It Is a Good Array,Medium,Jump Trading
1566,Detect Pattern of Length M Repeated K or More Times,Easy,Hudson River Trading
2246,Longest Path With Different Adjacent Characters,Hard,Hudson River Trading
1317,Convert Integer to the Sum of Two No-Zero Integers,Easy,Hudson River Trading
1342,Number of Steps to Reduce a Number to Zero,Easy,Hudson River Trading
1323,Maximum 69 Number,Easy,Hudson River Trading
2285,Maximum Total Importance of Roads,Medium,Hudson River Trading
2508,Add Edges to Make Degrees of All Nodes Even,Hard,Hudson River Trading
3225,Maximum Score From Grid Operations,Hard,Hudson River Trading
722,Remove Comments,Medium,Hudson River Trading
67,Add Binary,Easy,Hudson River Trading
239,Sliding Window Maximum,Hard,Hudson River Trading
410,Split Array Largest Sum,Hard,Hudson River Trading
464,Can I Win,Hard,Hudson River Trading
724,Find Pivot Index,Easy,CitiBank
509,Fibonacci Number,Easy,CitiBank
547,Number of Provinces,Medium,Two Sigma
2571,Minimum Operations to Reduce an Integer to 0,Medium,Two Sigma
528,Random Pick with Weight,Medium,Two Sigma
289,Game of Life,Medium,Two Sigma
1048,Longest String Chain,Medium,Two Sigma
43,Multiply Strings,Medium,Two Sigma
44,Wildcard Matching,Hard,Two Sigma
342,Power of Four,Easy,Two Sigma
349,Intersection of Two Arrays,Easy,Two Sigma
918,Maximum Sum Circular Subarray,Medium,Two Sigma
1186,Maximum Subarray Sum with One Deletion,Medium,Two Sigma
212,Word Search II,Hard,Two Sigma
121,Best Time to Buy and Sell Stock,Easy,Two Sigma
706,Design HashMap,Easy,Two Sigma
2050,Parallel Courses III,Hard,Two Sigma
23,Merge k Sorted Lists,Hard,Two Sigma
42,Trapping Rain Water,Hard,Two Sigma
56,Merge Intervals,Medium,Two Sigma
122,Best Time to Buy and Sell Stock II,Medium,Two Sigma
337,House Robber III,Medium,Two Sigma
348,Design Tic-Tac-Toe,Medium,Two Sigma
633,Sum of Square Numbers,Medium,Two Sigma
489,Robot Room Cleaner,Hard,Two Sigma
1268,Search Suggestions System,Medium,Two Sigma
1801,Number of Orders in the Backlog,Medium,Two Sigma
1889,Minimum Space Wasted From Packaging,Medium,Two Sigma
1294,Weather Type in Each Country,Easy,Point72
1321,Restaurant Growth,Medium,Point72
1378,Replace Employee ID With The Unique Identifier,Easy,Point72
1407,Top Travellers,Easy,Point72
1440,Evaluate Boolean Expression,Medium,Point72
17,Letter Combinations of a Phone Number,Medium,DE Shaw
968,Binary Tree Cameras,Hard,DE Shaw
2171,Removing Minimum Number of Magic Beans,Medium,DE Shaw
2430,Maximum Deletions on a String,Hard,DE Shaw
2542,Maximum Subsequence Score,Medium,DE Shaw
2875,Minimum Size Subarray in Infinite Array,Medium,DE Shaw
1122,Relative Sort Array,Easy,DE Shaw
1927,Sum Game,Medium,DE Shaw
3108,Minimum Cost Walk in Weighted Graph,Hard,DE Shaw
1262,Greatest Sum Divisible by Three,Medium,DE Shaw
1358,Number of Substrings Containing All Three Characters,Medium,DE Shaw
1679,Max Number of K-Sum Pairs,Medium,DE Shaw
2343,Query Kth Smallest Trimmed Number,Medium,DE Shaw
2352,Equal Row and Column Pairs,Medium,DE Shaw
2387,Median of a Row Wise Sorted Matrix,Medium,DE Shaw
2660,Determine the Winner of a Bowling Game,Easy,DE Shaw
2558,Take Gifts From the Richest Pile,Easy,DE Shaw
